,Store Name,Address,Type,Rating,Reviews,URL
44,Restaurant saffoud abid,PQP6+8Q9,Restaurant,"4,5",62,https://www.google.com/maps/place/Restaurant+saffoud+abid/data=!4m7!3m6!1s0x13002d2cc0f91231:0x9b87e70844c3be96!8m2!3d34.7357875!4d10.7619741!16s%2Fg%2F11dxrzjkss!19sChIJMRL5wCwtABMRlr7DRAjnh5s?authuser=0&hl=fr&rclk=1
45,مطعم دار بوالعز,"PQP5+3P9, Rue Sidi Ali Karray",Plats familiaux,"5,0",3,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%AF%D8%A7%D8%B1+%D8%A8%D9%88%D8%A7%D9%84%D8%B9%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x13002d006b37d015:0xfdcb28827669d13e!8m2!3d34.7351089!4d10.7592473!16s%2Fg%2F11y3x2v5dd!19sChIJFdA3awAtABMRPtFpdoIoy_0?authuser=0&hl=fr&rclk=1
46,Gourmandise Bouzayene,"QP8Q+R5G, Av. Mohamed Jmal",Restaurant,"3,7",70,https://www.google.com/maps/place/Gourmandise+Bouzayene/data=!4m7!3m6!1s0x1301d3dc3c92d82f:0xd50dc630bba89181!8m2!3d34.7670663!4d10.7379469!16s%2Fg%2F11fqqf_mhz!19sChIJL9iSPNzTARMRgZGouzDGDdU?authuser=0&hl=fr&rclk=1
47,Mechmecha +,Av. Habib Achour,Restaurant,"3,8",30,https://www.google.com/maps/place/Mechmecha+%2B/data=!4m7!3m6!1s0x13002d2eb82b4ed9:0xea1d0a1d6c60289c!8m2!3d34.7321508!4d10.7613022!16s%2Fg%2F11fylyr4qj!19sChIJ2U4ruC4tABMRnChgbB0KHeo?authuser=0&hl=fr&rclk=1
48,Le Printemps,55 Rue Alexandre Dumas,Bar,"4,4",20,https://www.google.com/maps/place/Le+Printemps/data=!4m7!3m6!1s0x13002d3209134acf:0xcba78b0de940710b!8m2!3d34.7323796!4d10.7664003!16s%2Fg%2F1ptxg85t6!19sChIJz0oTCTItABMRC3FA6Q2Lp8s?authuser=0&hl=fr&rclk=1
49,Le jardin gourmand,42 Rte du Kaïd Mhamed,Salade,"4,0",26,https://www.google.com/maps/place/Le+jardin+gourmand/data=!4m7!3m6!1s0x1301d374d311bae1:0x25c78f82749a6375!8m2!3d34.7701142!4d10.7408674!16s%2Fg%2F11m_yt9m9b!19sChIJ4boR03TTARMRdWOadIKPxyU?authuser=0&hl=fr&rclk=1
50,La sirène,Rue Habib Achour,Fruits de mer,"3,8",149,https://www.google.com/maps/place/La+sir%C3%A8ne/data=!4m7!3m6!1s0x13002d2fcb9f1b85:0x1c7d940b6da8fda6!8m2!3d34.7286472!4d10.7650271!16s%2Fg%2F1q4kn70y8!19sChIJhRufyy8tABMRpv2obQuUfRw?authuser=0&hl=fr&rclk=1
51,Charlot fast food,Route l'afrane km1 Sfax,Restaurant,"4,0",3,https://www.google.com/maps/place/Charlot+fast+food/data=!4m7!3m6!1s0x1301d39315c3890b:0x7387941437999319!8m2!3d34.7472365!4d10.7476788!16s%2Fg%2F11p64gg16r!19sChIJC4nDFZPTARMRGZOZNxSUh3M?authuser=0&hl=fr&rclk=1
52,Rivoli Restaurant,"PQM6+66J, Av. Habib Achour",Restauration rapide,"4,2",11,https://www.google.com/maps/place/Rivoli+Restaurant/data=!4m7!3m6!1s0x13002d2e905cb411:0x5c0820a840ac2eb1!8m2!3d34.7330816!4d10.7605098!16s%2Fg%2F11gcm0s6l2!19sChIJEbRckC4tABMRsS6sQKggCFw?authuser=0&hl=fr&rclk=1
53,Restaurant Elgola,"PQP6+8P6, Rue Khalifa",Restaurant,"4,5",57,https://www.google.com/maps/place/Restaurant+Elgola/data=!4m7!3m6!1s0x13002d2c95aa1a43:0x2d6789aec9375a87!8m2!3d34.7357994!4d10.7617538!16s%2Fg%2F11ggs3wbgm!19sChIJQxqqlSwtABMRh1o3ya6JZy0?authuser=0&hl=fr&rclk=1
54,Snack attack,"PQR3+RH2, Rue Majida Boulila",Restauration rapide,"3,5",53,https://www.google.com/maps/place/Snack+attack/data=!4m7!3m6!1s0x1301d39a2e515171:0x2cb4f24835d6ab3!8m2!3d34.7420006!4d10.7538782!16s%2Fg%2F11jpkww_fq!19sChIJcVFRLprTARMRs2pdgyRPywI?authuser=0&hl=fr&rclk=1
55,Pizzeria Mechmecha,Av. de Carthage,Pizza,"3,4",204,https://www.google.com/maps/place/Pizzeria+Mechmecha/data=!4m7!3m6!1s0x1301d2d5efbcd7b9:0xf68f53cc7fbe2478!8m2!3d34.742514!4d10.7556987!16s%2Fg%2F1tjxbwq6!19sChIJude879XSARMReCS-f8xTj_Y?authuser=0&hl=fr&rclk=1
56,Lazhar Food,3 RUE NASSRIA IMM ALMAJD Sfax,Restaurant,"4,6",8,https://www.google.com/maps/place/Lazhar+Food/data=!4m7!3m6!1s0x1301d3b3be2699fb:0xbfafe1c7e5080dc1!8m2!3d34.7405801!4d10.7578361!16s%2Fg%2F11h45nzs_b!19sChIJ-5kmvrPTARMRwQ0I5cfhr78?authuser=0&hl=fr&rclk=1
57,Plan B Sfax,2-40 Rte du Kaïd Mhamed,Sandwich,"3,7",112,https://www.google.com/maps/place/Plan+B+Sfax/data=!4m7!3m6!1s0x1301d31057e2e2c5:0x9f168ce3a00df79f!8m2!3d34.7691315!4d10.7414744!16s%2Fg%2F11g9q5klyh!19sChIJxeLiVxDTARMRn_cNoOOMFp8?authuser=0&hl=fr&rclk=1
58,سلطع برجر Sfax,"سلطع برجر 🍔 34,7734469, 10,7348979, Route",Hamburger,"3,4",33,https://www.google.com/maps/place/%D8%B3%D9%84%D8%B7%D8%B9+%D8%A8%D8%B1%D8%AC%D8%B1+Sfax%E2%80%AD/data=!4m7!3m6!1s0x1301d33ae5d54a99:0x5dd21f63f6d3d1ad!8m2!3d34.7733662!4d10.7350782!16s%2Fg%2F11jsf2w1y8!19sChIJmUrV5TrTARMRrdHT9mMf0l0?authuser=0&hl=fr&rclk=1
59,Resto Bistro Club MAXIMOS,PQQ2+62F، Unnamed Road,Restaurant,"3,9",49,https://www.google.com/maps/place/Resto+Bistro+Club+MAXIMOS/data=!4m7!3m6!1s0x13002cd4b24ec429:0x2cecb4164e6da9ce!8m2!3d34.7380547!4d10.7500511!16s%2Fg%2F11gf9qjq1v!19sChIJKcROstQsABMRzqltTha07Cw?authuser=0&hl=fr&rclk=1
60,Mado Sfax,,Cafétéria,"4,7",6,https://www.google.com/maps/place/Mado+Sfax/data=!4m7!3m6!1s0x13002df0ecb0810f:0x288762c55c148649!8m2!3d34.7360534!4d10.7492494!16s%2Fg%2F11fnrvxn6v!19sChIJD4Gw7PAtABMRSYYUXMVihyg?authuser=0&hl=fr&rclk=1
